reference,translation,tense_score,gender_score
"जैसे ही आप धारा से निकल आते हैं, पीछे की ओर तैरने में कोई खास मुश्किल नहीं होती है.","जैसे ही आप करंटसे बाहर निकलते हैं, स्विमिंग बैकसामान्य से ज्यादा मुश्किल नहीं होती ।",1.0,1.0
"कुछ सड़कें क्षतिग्रस्त हो गई हैं, प्रभावित क्षेत्रों में रेल सेवा बाधित हुई, और इशिकावा प्रांत में नोटो हवाई अड्डा बंद है.","कुछ सड़कें क्षतिग्रस्त हो गई हैं, प्रभावित क्षेत्रों में रेल सेवा बाधित है और इशिकावा प्रान्त में नोटो हवाई अड्डा बंद है।",1.0,1.0
इसे प्रवेश द्वार पर रखे स्टॉक से भी लिया जा सकता है लेकिन उन कपड़ों को हर इस्तेमाल के बाद धोया नहीं जाता है इसलिए शायद आपको ये स्कर्ट पहनना सुविधाजनक न लगे. पुरुषों के लिए एक ही साइज़ उपलब्ध है.,"यह भी प्रवेश द्वार पर स्टॉक से उधार लिया जा सकता है लेकिन वह कपड़े हर उपयोगकर्ता के बाद नहीं धोए जाते हैं, इसलिए आप इन स्कर्टों को पहनने में सहज महसूस नहीं कर सकते हैं। पुरुषों के लिए एक आकारसभी फिट बैठता है!",1.0,1.0
"वे गुण जो किसी उप-संस्कृति को अलग बनाते हैं, जैसे कि भाषा, सौंदर्य, धर्म, राजनीति, यौन, भूगोल या कई सारे कारकों का मिश्रण हो सकते हैं.","उपसंस्कृति को विशिष्ट रूप से निर्धारित करने वाले गुण भाषाई, सौंदर्य, धार्मिक, राजनीतिक, यौन, भौगोलिक या कारकों का संयोजन हो सकते हैं।",1.0,1.0
"यह उम्मीद है कि ईवेंट की अधिकांश टिकटों की कीमत ¥ 2,500 से ¥130,000 के बीच होगी, जिसमें प्ररूपी टिकटों की कीमत लगभग  ¥7,000 होगी।","यह उम्मीद की जा रही है कि अधिकांशइवेंट टिकट 2,500 और ‧ 130,000 के बीच खर्च होंगे, जिसमें विशिष्ट टिकटों की लागत लगभग 7,000 है।",1.0,0.5
"यूनिवर्सिटी ऑफ़ डंडी के प्रोफ़ेसर पामेला फ़र्ग्यूसन लिखते हैं, “अगर संदिग्धों के फ़ोटो आदि प्रकाशित होते हैं तो पत्रकारों को यह ख़तरनाक मार्ग पर चलना लगता है”.","डंडी विश्वविद्यालय के प्रोफेसर पामेला फर्गगुसन नोट""पत्रकारों को एक खतरनाक लाइन चलने लगता है अगर संदिग्धों की तस्वीरें आदि प्रकाशन.""",1.0,0.6
"पुराने मदीना के आस-पास ऐसी जगहें आसानी से मिल जाती हैं जहां मोरक्को का परंपरागत सामान बेचा जाता है, जैसे कि ताजिन, पॉटरी, चमड़े का सामान, हुक्का, और जीजॉ का एक पूरा स्पेक्ट्रम, लेकिन यह सब पर्यटकों के लिए है.","पुराने मदीना के आस-पास पारंपरिक मोरक्कन सामान जैसे टैगिन, कुम्हार,चमड़ा सामान, हुकहों और गीगावोंका एक पूरा स्पेक्ट्रमबेचने वाली जगहों का पता लगाना आसान है, लेकिन यह सब पर्यटकों के लिए है।",1.0,1.0
असल में फील्ड ट्रिप साझा करना यात्रा पर विचार करने और भविष्य की कक्षाओं के साथ अनुभव करने का एक शानदार तरीका है.,फील्ड ट्रिप को आभासी रूप से साझा करना एक यात्रा और भावी वर्गोंके साथ अनुभवों को साझा करने का भी एक अच्छा तरीका है।,1.0,1.0
"इसके अलावा, इस बात से अवगत रहें कि गंधक भालू और अन्य वन्यजीवों को आकर्षित करते हैं, इसलिए गंधयुक्त खाद्य पदार्थों को ले जाने या पकाने से बचें और शिविर साफ रखें।","साथ ही जानते रहेकि अजगर भालू और अन्य वन्यजीवों को आकर्षित करते हैं, इसलिए गंदेखाद्य पदार्थों को ले जाने या पकाने से बचें और स्वच्छ शिविर रखें।",1.0,1.0
यह अफ्रीकी जगत के अजूबे हेनरी लुई के पीबीएस गेट्स के दौरान एक प्रमुख पड़ाव था।,हेनरी लुइस गेट्स के पीबीएस स्पेशल वंडर्स ऑफ द अफ्रीकन वर्ल्ड के दौरान यह प्रमुख पड़ावों में से एक था।,1.0,1.0
